,시도_시군구
0,서울특별시 강남구
1,서울특별시 강동구
2,서울특별시 강북구
3,서울특별시 강서구
4,서울특별시 관악구
5,서울특별시 광진구
6,서울특별시 구로구
7,서울특별시 금천구
8,서울특별시 노원구
9,서울특별시 도봉구
10,서울특별시 동대문구
11,서울특별시 동작구
12,서울특별시 마포구
13,서울특별시 서대문구
14,서울특별시 서초구
15,서울특별시 성동구
16,서울특별시 성북구
17,서울특별시 송파구
18,서울특별시 양천구
19,서울특별시 영등포구
20,서울특별시 용산구
21,서울특별시 은평구
22,서울특별시 종로구
23,서울특별시 중구
24,서울특별시 중랑구
25,부산광역시 강서구
26,부산광역시 금정구
27,부산광역시 기장군
28,부산광역시 남구
29,부산광역시 동구
30,부산광역시 동래구
31,부산광역시 부산진구
32,부산광역시 북구
33,부산광역시 사상구
34,부산광역시 사하구
35,부산광역시 서구
36,부산광역시 수영구
37,부산광역시 연제구
38,부산광역시 영도구
39,부산광역시 중구
40,부산광역시 해운대구
41,대구광역시 남구
42,대구광역시 달서구
43,대구광역시 달성군
44,대구광역시 동구
45,대구광역시 북구
46,대구광역시 서구
47,대구광역시 수성구
48,대구광역시 중구
49,인천광역시 강화군
50,인천광역시 계양구
51,인천광역시 남동구
52,인천광역시 동구
53,인천광역시 미추홀구
54,인천광역시 부평구
55,인천광역시 서구
56,인천광역시 연수구
57,인천광역시 옹진군
58,인천광역시 중구
59,광주광역시 광산구
60,광주광역시 남구
61,광주광역시 동구
62,광주광역시 북구
63,광주광역시 서구
64,대전광역시 대덕구
65,대전광역시 동구
66,대전광역시 서구
67,대전광역시 유성구
68,대전광역시 중구
69,울산광역시 남구
70,울산광역시 동구
71,울산광역시 북구
72,울산광역시 울주군
73,울산광역시 중구
74,세종특별자치시 nan
75,경기도 가평군
76,경기도 고양시
79,경기도 과천시
80,경기도 광명시
81,경기도 광주시
82,경기도 구리시
83,경기도 군포시
84,경기도 김포시
85,경기도 남양주시
86,경기도 동두천시
87,경기도 부천시
88,경기도 성남시
91,경기도 수원시
95,경기도 시흥시
96,경기도 안산시
98,경기도 안성시
99,경기도 안양시
101,경기도 양주시
102,경기도 양평군
103,경기도 여주시
104,경기도 연천군
105,경기도 오산시
106,경기도 용인시
109,경기도 의왕시
110,경기도 의정부시
111,경기도 이천시
112,경기도 파주시
113,경기도 평택시
114,경기도 포천시
115,경기도 하남시
116,경기도 화성시
117,강원도 강릉시
118,강원도 고성군
119,강원도 동해시
120,강원도 삼척시
121,강원도 속초시
122,강원도 양구군
123,강원도 양양군
124,강원도 영월군
125,강원도 원주시
126,강원도 인제군
127,강원도 정선군
128,강원도 철원군
129,강원도 춘천시
130,강원도 태백시
131,강원도 평창군
132,강원도 홍천군
133,강원도 화천군
134,강원도 횡성군
135,충청북도 괴산군
136,충청북도 단양군
137,충청북도 보은군
138,충청북도 영동군
139,충청북도 옥천군
140,충청북도 음성군
141,충청북도 제천시
142,충청북도 증평군
143,충청북도 진천군
144,충청북도 청주시
148,충청북도 충주시
149,충청남도 계룡시
150,충청남도 공주시
151,충청남도 금산군
152,충청남도 논산시
153,충청남도 당진시
154,충청남도 보령시
155,충청남도 부여군
156,충청남도 서산시
157,충청남도 서천군
158,충청남도 아산시
159,충청남도 예산군
160,충청남도 천안시
162,충청남도 청양군
163,충청남도 태안군
164,충청남도 홍성군
165,전라북도 고창군
166,전라북도 군산시
167,전라북도 김제시
168,전라북도 남원시
169,전라북도 무주군
170,전라북도 부안군
171,전라북도 순창군
172,전라북도 완주군
173,전라북도 익산시
174,전라북도 임실군
175,전라북도 장수군
176,전라북도 전주시
178,전라북도 정읍시
179,전라북도 진안군
180,전라남도 강진군
181,전라남도 고흥군
182,전라남도 곡성군
183,전라남도 광양시
184,전라남도 구례군
185,전라남도 나주시
186,전라남도 담양군
187,전라남도 목포시
188,전라남도 무안군
189,전라남도 보성군
190,전라남도 순천시
191,전라남도 신안군
192,전라남도 여수시
193,전라남도 영광군
194,전라남도 영암군
195,전라남도 완도군
196,전라남도 장성군
197,전라남도 장흥군
198,전라남도 진도군
199,전라남도 함평군
200,전라남도 해남군
201,전라남도 화순군
202,경상북도 경산시
203,경상북도 경주시
204,경상북도 고령군
205,경상북도 구미시
206,경상북도 군위군
207,경상북도 김천시
208,경상북도 문경시
209,경상북도 봉화군
210,경상북도 상주시
211,경상북도 성주군
212,경상북도 안동시
213,경상북도 영덕군
214,경상북도 영양군
215,경상북도 영주시
216,경상북도 영천시
217,경상북도 예천군
218,경상북도 울릉군
219,경상북도 울진군
220,경상북도 의성군
221,경상북도 청도군
222,경상북도 청송군
223,경상북도 칠곡군
224,경상북도 포항시
226,경상남도 거제시
227,경상남도 거창군
228,경상남도 고성군
229,경상남도 김해시
230,경상남도 남해군
231,경상남도 밀양시
232,경상남도 사천시
233,경상남도 산청군
234,경상남도 양산시
235,경상남도 의령군
236,경상남도 진주시
237,경상남도 창녕군
238,경상남도 창원시
243,경상남도 통영시
244,경상남도 하동군
245,경상남도 함안군
246,경상남도 함양군
247,경상남도 합천군
248,제주특별자치도 서귀포시
249,제주특별자치도 제주시
